id;what;who;Gender;Category;Activity;Context;Birthday, place;sterbedatum_und_sterbeort;Zipcode;Street;Housenr;Location;District;made;art
111;;"Abraham Geiger; Rabbiner und Mitbegründer der Hochschule für die Wissenschaft des Judentums";m;Religion and Philosophy;Rabbi;Jewish;24.05.1810, Frankfurt am Main;07.08.1874, Berlin;10178;Rosenthaler Straße;40;Hackesche Höfe zwischen Hof I u. Hof II;Mitte;25.05.2010;KPM - Berliner Gedenktafel
623;;"Ferdinand Möller; Kunsthändler";m;Business;Entrepreneur;Art;15.10.1882, Münster;12.01.1956, Köln;10785;Schöneberger Ufer;71;Rechts am Haus;Tiergarten;Jun 10;KPM - Berliner Gedenktafel
625;;"Herrmann Müller; Politiker (SPD), Reichskanzler";m;History;Politics;Cancelor;18.05.1876, Mannheim;20.03.1931, Berlin;10785;Derfflingerstraße;21;Links vom Eingang, zwischen dem 4. und 5. Fenster;Tiergarten;18.05.2011;KPM - Berliner Gedenktafel
114;;"Georg Groscurth; Arzt, Mitbegründer der NS-Widerstandsgruppe Europäische Union";m;History;Doctor;NS resistance;27.12.1904, Unterhaun, Hessen-Nassau;08.05.1944, Zuchthaus Brandenburg-Görden;10551;Turmstraße;21;Ehemaliges Haus der Gesundheit - Robert Koch Krankenhaus;Moabit;07.02.1995;KPM - Berliner Gedenktafel
115;;"Otto Hampel und Elise Hampel; NS-Widerstandskämpfer";mf;History;Civilian;NS resistance;"21.06.1897, Mühlbock; 27.10.1903, Bismark/Altmark";"08.04.1943, Berlin-Plötzensee; 08.04.1943, Berlin-";13347;Amsterdamer Straße;10;Links an der Wand zur Straße;Wedding;08.04.1989;KPM - Berliner Gedenktafel
117;;"Katharina Heinroth; Zoologin, Direktorin des Berliner Zoos von 1945-1956";f;Science and Research;Zoology;;04.02.1897, Breslau;20.10.1989, Berlin;10787;Budapester Straße;32;Links vom Eingang zum Aquarium;Tiergarten;04.02.1997;KPM - Berliner Gedenktafel
629;;"José Rizal; Arzt und Dichter, Nationalheld der Philippinen";m;Culture;Writing;Philippines;19.06.1861, Calamba, Luzon;30.12.1896, Manila;10117;Jägerstraße;71;Rechts vom Eingang;Mitte;2003;Eisengusstafel
118;;"Oskar Heinroth; Zoologe, Erbauer und Direktor des Aquariums";m;Science and Research;Zoology;;01.03.1871, Kastel;31.05.1945, Berlin;10787;Budapester Straße;32;Am Aquarium links vom Eingang;Tiergarten;04.02.1997;KPM - Berliner Gedenktafel
630;;"Minna Schwarz; Gründerin des 1. Frauenvereins der Loge Bnai Brith";f;History;Civili Society Organisation;Jewish;25.11.1859, Pyritz, Pommern;27.12.1936, Berlin;10115;Brunnenstraße;41;Links neben dem Eingang;Mitte;15.01.2012;Acrylglastafel
375;;"Wilhelm Krausnick; Oberbürgermeister";m;History;Politics;;30.03.1797, Potsdam;14.12.1882, Berlin;10178;Rathausstraße;15;Ãœber dem Eingang Jüdenstraße;Mitte;;Bronzetafel
120;;"Israel Jacobson;  Kaufmann und Bankier, Begründer des Reformjudentums in Deutschland";m;Religion and Philosophy;Judaist;Jewish;17.10.1768, Halberstadt;14.09.1828, Berlin;10178;Burgstraße;25;Am zweiten Pfeiler links in der hinteren Kolonade;Mitte;16.07.2010;KPM - Berliner Gedenktafel
376;;"Herrmann Waesemann; Architekt, Erbauer des Rathauses";m;Culture;Architecture;;06.06.1813, Danzig;28.01.1879, Berlin;10178;Rathausstraße;15;Am Eingang Jüdenstraße zum Säulensaal;Mitte;14.08.2007;Bronzetafel am Büstensockel
632;;"Paul Ferdinand Strassmann; Universitätsprofessor, Arzt und Wissenschaftler";m;Science and Research;Medicine;;23.10.1866, Berlin;15.08.1938, Gstaad;10117;Schumannstraße;18;Links vom Eingang;Mitte;10.09.2003;Bronzetafel
122;;"Ernst Kaeber; Berliner Stadtarchivar";m;History;Administration;;05.12.1882, Charlottenburg;05.07.1961, Berlin;10555;Dortmunder Straße;6;Rechts vom Eingang, zwischen dem 1. und 2. Fenster;Moabit;27.09.2011;KPM - Berliner Gedenktafel
124;;"Walter Kollo und Willi Kollo; Komponisten und Textdichter";mm;Culture;Composing;;"28.01.1878, Neidenburg; 28.04.1904, Königsberg";"30.09.1940, Berlin; 04.02.1988, Berlin";10117;Friedrichstraße;101;Admiralspalast, rechte Wand in der Einfahrt;Mitte;30.09.2010;KPM - Berliner Gedenktafel
636;;"Rahel Varnhagen von Ense; Schriftstellerin";f;Culture;Writing;;19.05.1771, Berlin;07.03.1803, Berlin;10117;Jägerstraße;54;Rechts vom Eingang;Mitte;;Bronzegusstafel
382;;"Albrecht von Graefe; Augenarzt, Direktor der augenärztlichen Abteilung der Charité";m;History;Doctor;;20.05.1828;20.07.1870;10117;Reinhardtstraße;34;Ãœber dem Fenster in der 1. Etage;Mitte;21.06.1908;Portraitrelief
383;;"Herrmann Ludwig Ferdinand von Helmholtz; Physiologe und Physiker";m;Science and Research;Physics;;31.08.1821, Potsdam;08.09.1894, Charlottenburg;10117;Reinhardtstraße;34;Ãœber dem Fenster in der 1. Etage;Mitte;21.06.1908;Portraitrelief
128;;"Constantin Liebich; Journalist, Mitbegründer des Vereins Dienst an Arbeitslosen, Schrippenkirche";m;History;Civil Society Organisation;Unemplyoment;09.06.1847;29.12.1928;10115;Ackerstraße;52;An der Hauswand;Mitte;31.10.1988;KPM - Berliner Gedenktafel
640;;"Alexander von Humboldt; Naturforscher, Mitbegründer der wissenschaftlichen Geographie";m;Science and Research;Geography;;14.09.1769, Berlin;06.05.1859, Berlin;13357;Humboldthain;;Weg parallel zur Gustav Meyer Allee/ Liegewiese;Gesundbrunnen;;Steinstele
386;;"Oda Schottmüller; Tänzerin und Bildhauerin, Mitglied der NS-Widerstandsorganisation Rote Kapelle";f;Culture;Dancing;NS resistance;09.02.1905, Posen;05.08.1943, Berlin-Plötzensee;10178;Rosa-Luxemburg-Platz;;Im Foyer der Volksbühne 1. Etage rechts;Mitte;Nov 79;Metalltafel
131;;"Friedrich Nicolai; Schriftsteller, Verleger, Buchhändler, Vertreter der Berliner Aufklärung";m;Culture;Writing;Aufklärung;18.03.1733, Berlin;08.01.1811, Berlin;10178;Brüderstraße;13;Rechts neben dem Eingang;Mitte;18.04.2011;KPM - Berliner Gedenktafel
387;;"Rudolf Lunau; Filmvorführer im Kino Babylon, NS-Widerstandskämpfer (KPD)";m;History;Communism;NS resistance;27.06.1906;1943 verschollen;10178;Rosa-Luxemburg-Straße;30;im Foyer des Kinos Babylon links;Mitte;1987;Metalltafel
133;;"Harald Poelchau; Sozialist, Gefängnispfarrer, NS-Widerstandskämpfer (Kreisauer Kreis)";m;Religion and Philosophy;Priest;NS resistance;05.10.1903, Potsdam;29.04.1972, Berlin;13351;Afrikanische Straße;140 b;Ãœber dem Eingang;Wedding;17.11.1998;KPM - Berliner Gedenktafel
389;;"Jakob van Hoddis; Dichter";m;Culture;writing;;16.05.1887, Berlin;April 1942, SobibÃ³r;10178;Rosenthaler Straße;40 bis 41;In der Durchfahrt an der linken Wand;Mitte;08.11.1994;Metalltafel
647;;"Georg Puchowski; Pfarrer und Politiker, Jugendseelsorger, Generalvikar";m;Religion and Philosophy;Priest;;13.11.1892, Berlin;20.11.1967, Berlin;13357;Bellermannstraße;91;Ganz rechts an der Kirche, hinter Bäumen;Gesundbrunnen;;KPM - Berliner Gedenktafel
138;;"Bernhard Rose; Schauspieler und Theaterdirektor";m;Culture;Acting;;22.05.1865;23.06.1927;13357;Badstraße;58;Rechts vom Eingang;Gesundbrunnen;22.05.1992;KPM - Berliner Gedenktafel
650;;"Harald Juhnke; Schauspieler und Entertainer";m;Culture;Acting;;10.06.1929, Berlin;01.04.2005, Rüdersdorf;13359;Stockholmer Straße;29;Rechts vom Eingang;Gesundbrunnen;;Stahltafel mit schwarzer Inschrift
139;;"Alfred Rotter und Fritz Rotter; Theaterbetreiber";mm;Business;Owner;Theater;"14.11.1866; 03.09.1888";"05.04.1933; um 1939";10117;Friedrichstraße;101;Admiralspalast, linke Wand in der Einfahrt;Mitte;04.07.2008;KPM - Berliner Gedenktafel
651;;"Heinz Galinski; Textilkaufmann, NS-Verfolgter, Vorsitzender der Jüdischen Gemeinde zu Berlin, Erster Vorsitzender des Zentralrates";m;Religion and Philosophy;Community chair;NS persecuted;28.11.1912, Marienburg, Westpreußen;19.07.1992, Berlin;13347;Heinz-Galinski-Straße;5;Links hinter Einfahrt auf dem Gelände;Gesundbrunnen;;Messingtafel am Büstensockel
141;;"Nelly Sachs; jüdische deutsch-schwedische Schriftstellerin und Lyrikerin, Nobelpreisträgerin";f;Culture;Writing;NS persecuted;10.12.1891, Schöneberg;12.05.1970, Stockholm;10555;Lessingstraße;5;Früher Nr. 33, rechts vom Eingang, Hansa-Grundschule;Hansaviertel;12.05.1995;KPM - Berliner Gedenktafel
397;;"Max Reinhardt; Theaterregisseur, Intendant und Theatergründer";m;Culture;Directing;;09.09.1873, Baden, Niederösterreich;31.10.1943, New York;10117;Schumannstraße;13 a;Ãœber dem Bühneneingang;Mitte;1961;Bronzemedaillion
142;;"Carl Scheibler; Chemiker, Gründer des Instituts für Zuckerkunde,  Hochschulprofessor";m;Science and Research;Chemistry;;16.02.1827, Gemereth/Eupen;02.04.1899, Berlin;10785;Derfflingerstraße;8;Villa Wuttke, linker Eingang, früher Buchenstraße 6;Tiergarten;12.12.1989;KPM - Berliner Gedenktafel
143;;"Helene von Schell; Gerechte unter den Völkern";f;History;Civilian;NS resistance;20.07.1903;04.03.1956;10551;Waldstraße;6;Rechts vom Eingang;Moabit;04.03.1996;KPM - Berliner Gedenktafel
399;;"Ismair Boas, Geheimrat Prof. Dr. Med.; Erster Arzt für Gastoenterologie";m;Science and Research;Medicine;;28.03.1858, Exin;15.03.1938, Wien;10117;Virchowweg;10;CharitÃ©, rechts vom Eingang;Mitte;16.09.1992;Bronzetafel
655;;"Manuela, Doris Inge Wegener; Schlagersängerin";ff;Culture;Singing;;02.05.1802, Berlin;13.02.2001, Berlin;13357;Thurneysserstraße;3a;Rechts oberhalb des Eingangs;Gesundbrunnen;;Acrylglastafel
144;;"Ernst Schering; Apotheker und Unternehmer";m;Business;Entrepreneur;Medicine;31.05.1824, Prenzlau;27.12.1889, Berlin;13353;Müllerstraße;170;Ãœber dem Eingang;Wedding;24.10.1988;KPM - Berliner Gedenktafel
145;;"Werner Schröder; Zoologe, Botaniker und Paläontologe, Direktor des Berliner Aquariums";m;Science and Research;Zoology;;19.12.1907, Bochum;02.07.1985, Berlin;10787;Budapester Straße;32;Am Aquarium links vom Eingang;Tiergarten;Sep 02;KPM - Berliner Gedenktafel
657;;"Paul Nipkow; Techniker und Entwickler,  Erfinder von Grundlagen für den Fernseher";m;Science and Research;Technology;;22.08.1860, Lauenburg in Pommern;24.08.1940, Berlin;13357;Uferstraße;2;Rechts neben dem Eingang;Gesundbrunnen;;Metalltafel
146;;"Friedrich Albert Schwartz; Stadtentwicklungs- und Architekturfotograf";m;Culture;Photography;;12.01.1836, Berlin;04.05.1906, Berlin;10117;Friedrichstraße;115;Links vom Eingang;Mitte;01.12.2009;KPM - Berliner Gedenktafel
658;;"Reinhard Alfred Furrer; Physiker, Astronaut, Universitätsprofessor, Fluchthelfer";m;Science and Research;Physics;GDR flight aid;29.11.1940, Wörgl, Österreich;09.09.1995;13355;Brunnenstraße;135;Rechts neben Eingang;Gesundbrunnen;01.07.2010;Metalltafel mit vergoldeter Inschrift
147;;"Louis Schwartzkopff; Unternehmer und Gründer der Berliner Maschinenbau-Actien-Gesellschaft";m;Business;Entrepreneur;;05.06.1825, Magdeburg;07.03.1892, Berlin;13355;Scheringstraße;2;Ganz rechts am Eckhaus am Gartenplatz;Gesundbrunnen;09.05.1989;KPM - Berliner Gedenktafel
404;;"Moritz und Ulla Rosenthal; jüdische Wäschefabrikanten";fm;History;Civilian;NS victim;"16.04.1883, Nikolaiden; unbekannt";"07.07.1944, KZ Auschwitz; unbekannt, KZ Auschwitz";10179;Stralauer Straße;44 bis 45;Stralauer Straße Ecke Neue Jüdenstraße, neben einer Tür;Mitte;29.04.1999;Bronzetafel
405;;"Gustav Elfert; Friseur, Kriegsgegner, unorganisierter NS-Widerstandskämpfer";m;History;Civilian;NS resistance;04.01.1886, Berlin;26.01.1945, Berlin-Plötzensee;10115;Strelitzer Straße;10;Zwischen dem 2. und 3. Fenster rechts an der Wand;Mitte;50er;Bronzetafel
150;;"Siegbert Springer; Jura-Repetitor und Jura-Lehrer";m;History;Administration;;09.08.1882, Schubin bei Bromberg;10.05.1938, Berlin;10557;Spenerstraße;15;Rechts vom Eingang;Moabit;12.12.1989;KPM - Berliner Gedenktafel
663;;"Werner Kluge; Ehrenvorsitzender des BFV, SV Nord-Nordstern";m;History;Civil Society Organisation;Sport;1907;1992;13409;Kühnemannstraße;52;Rechts beim Eingang zur Sportanlage;Gesundbrunnen;1995;Bronzetafel
152;;"Mark Twain (Samuel Langhorne Clemens); amerikanischer Schriftsteller";m;Culture;Writer;US American;30.11.1835, Florida, Missouri;21.04.1910, Redding, Connecticut;10785;Körnerstraße;7;Rechte Seite am Aufgang C;Tiergarten;14.09.2011;KPM - Berliner Gedenktafel
664;;"Phillip Wilhelm Moritz Boegehold; evanglischer Theologe, Gefängnispfarrer, Gründer des Lazarus-Haus";m;Religion and Philosophy;Theologist;protestant;24.05.1815, Mühlheim;16.10.1873, Berlin;13355;Bernauer Straße;115 bis 116;Im Vorhof zum ehemaligen Krankenhaus;Gesundbrunnen;;Inschrift am Büstensockel
153;;"Rudolf Virchow; Arzt, Archäologe und Politiker";m;Science and Research;Medicine;;13.10.1821, Schivelbein, Pommern;05.09.1902, Berlin;13353;Augustenburger Platz;1;Campus Rudolf Virchow, 2. Durchfahrt rechts an der Wand;Wedding;28.10.1988;KPM - Berliner Gedenktafel
155;;"Günter Ammon; Psychoanalytiker";m;Science and Research;Psychology and Analysis;;09.05.1918, Berlin;03.09.1995, Berlin;10115;Große Hamburger Straße;36;Links vom Eingang;Mitte;Mrz 99;Marmortafel mit schwarzer Inschrift
411;;"Wilhelm von Humboldt; Jurist, Sprachforscher, Bildungsreformer, Mitgründer der Berliner Universität";m;Science and Research;Education;;22.06.1767, Potsdam;08.04.1835, Berlin;10117;Unter den Linden;6;Linker Treppenaufgang;Mitte;22.10.1998;Bronzetafel
667;;"Stifter Henry H. Reichhold; Akademie der Künste";m;Culture;;Art;07.1901, Berlin;11.12.1989, Armonk, New York;10557;Hanseatenweg;10;Kleine Mauer links vom Eingang;Hansaviertel;1960;Bronzetafel, quer
156;;"Adolf Jarislowsky; Bankier";m;Business;Bankier;;17.04.1855, Hultschin;05.12.1933, Berlin;10117;Jägerstraße;69;Rechts vom Eingang;Mitte;09.05.1997;Bronzetafel
412;;"Albert Einstein; Physiker, Schöpfer der Relativitätstheorie, Nobelpreisträger";m;Science and Research;Physics;;14.03.1879, Ulm;18.04.1955, Princeton, New Jersey;10117;Unter den Linden;6;Im Vorraum Kinosaal / Audi Max;Mitte;Nov 65;Bronzetafel
668;;"Albrecht von Graefe; Augenarzt, Direktor der augenärztlichen Abteilung der Charité";m;History;Doctor;;20.05.1828;20.07.1870;10557;Händelallee;;Wiese, rechts neben der Kirche;Hansaviertel;1970;Edelmetallstele
158;;"Leonhard Euler; Mathematiker, Physiker, Begründer einer Musiktheorie";m;Science and Research;Maths;;15.04.1707, Basel;18.09.1783, Sankt Petersburg;10117;Behrenstraße;21;Rechts vom Nebeneingang;Mitte;1907;Bronzetafel
414;;"Friedrich Daniel Ernst Schleiermacher; evangelischer Theologe, Philosoph";m;Religion and Philosophy;Theologist;protestant;21.11.1768, Breslau;12.02.1834, Berlin;10117;Unter den Linden;6;Westflügel;Mitte;Nov 85;Marmortafel mit Bronzeportrait
160;;"Georg Wilhelm Friedrich Hegel; Philosoph";m;Religion and Philosophy;Philosphist;;27.08.1770, Stuttgart;14.11.1831, Berlin;10117;Am Kupfergraben;5;Rechts am Haus;Mitte;;Eisengusstafel
416;;"Albert Einstein; Physiker, Schöpfer der Relativitätstheorie, Nobelpreisträger";m;Science and Research;Physics;;14.03.1879, Ulm;18.04.1955, Princeton, New Jersey;10117;Unter den Linden;8;Links vom Eingang, Staatsbibliothek;Mitte;25.11.1994;Bronzetafel
672;;"Oswald Schumann; Gesamtverband der Arbeitnehmer der Öffentlichen Betriebe";m;History;Administration;worker's rights;11.12.1865, Borzenzine, Schlesien;09.06.1939, Petershagen bei Berlin;10555;Altonaer Straße;1;Hinter dem Eternithaus rechts am Spielplatz;Hansaviertel;;Steinstele mit schwarzer Inschrift
161;;"Ernst Theodor Amadeus Hoffmann (E.T.A.Hoffmann); Schriftsteller, Komponist";m;Culture;Writing;;24.01.1776, Königsberg;25.06.1822, Berlin;10115;Charlottenstraße;56;Neben dem Eingang des Restaurants;Mitte;;Bronzetafel und Portraitmedaillon
162;;"Christoph Wilhelm Hufeland; Arzt, Sozialhygieniker, Leibarzt, Universitätsprofessor";m;History;Doctor;;12.08.1762, Langensalza;25.08.1836, Berlin;10117;Hegelplatz;1;Links an der Ecke des Hauses;Mitte;1957;Steintafel mit schwarzer Inschrift
418;;"David Hansemann; Kaufmann und Bankier, Gründer der Disconto-Gesellschaft";m;Business;Bankier;;12.07.1790, Finkenwerder;04.08.1864, Schlangenbad;10117;Unter den Linden;13 bis 15;Im Treppenaufgang rechts;Mitte;22.04.1997;Metalltafel
163;;"Margarete Kaufmann; Stenotypistin, KPD-Funktionärin, Jüdin, NS-Widerstandskämpferin";f;History;Communism;NS resistance;18.06.1942, Sankt Petersburg;21.12.1942, unbekannt;10115;Linienstraße;154 a;Zwischen dem 2. und 3. Fenster links neben dem Eingang;Mitte;50er;Eisengusstafel
420;;"Karl Friedrich Schinkel; Architekt und preussischer Baumeister";m;Culture;Architecture;Prussian;13.03.1781, Neuruppin;09.10.1841, Berlin;10117;Unter den Linden;67;An der Fassade ganz rechts, ziemlich hoch;Mitte;1904;Bronzetafel
165;;"Gottfried Keller; Schweizer Dichter und Politiker";m;Culture;Writing;;19.07.1819, Zürich;15.07.1890, Zürich;10117;Bauhofstraße;2;Zwischen dem 1. und 2. Fenster links vom Eingang;Mitte;1929;Bronzetafel
166;;"Heinrich von Kleist; Dramatiker und Publizist";m;Culture;Writing;;10.10.1777, Frankfurt/Oder;21.11.1811, Stolper Loch- Kl. Wannsee;10117;Mauerstraße;53;Rechts vom Eingang;Mitte;1890;Bronzetafel
422;;"Alfred Wegener, Prof. Dr.; Polarforscher";m;Science and Research;;;01.11.1880, Berlin;11.1930, Grönland;10179;Wallstraße;42;Ehemaliges Cöllnisches Gymnasium, ganz rechts am Haus;Mitte;13.02.1980;Eisengusstafel
167;;"Robert Koch; Mediziner und Mikrobiologe";m;Science and Research;Medicine;;11.12.1843, Clausthal;27.05.1910, Baden-Baden;10117;Luisenstraße;57;Zwischen dem 2. und 3. Fenster rechts vom Eingang;Mitte;24.03.1982;Gusstafel
679;;"Carl von Ossietzky; Schriftsteller, Herausgeber der Weltbühne, NS-Verfolgter";m;Culture;Writing;NS persecuted;03.10.1889, Hamburg;04.05.1938, Berlin;10559;Alt-Moabit;118;Rechts vor dem Spielplatz;Moabit;1965;Bronzetafel am Findling
168;;"Sala Kochmann und Martin Kochmann; Mitglieder der NS-Widerstandsgruppe um Herbert Baum";fm;History;Civilian;NS resistance;;unklare Angaben;10119;Gipsstraße;3;An der Hauswand;Mitte;50er;Eisengusstafel
424;;"Franz Mett; Bergmann, Metallarbeiter, Funktionär der KPD, NS-Widerstandskämpfer (Uhrig-Gruppe)";m;History;Communism;NS resistance;25.10.1904, Nickelnischken, Ostpreußen;21.08.1944, Zuchthaus Brandenburg;10178;Weinmeister Straße;16;Rechts vom Eingang, Zugang über Gormannstraße;Mitte;;Eisengusstafel
169;;"Gotthold Ephraim Lessing; Dichter von Minna von Barnhelm";m;Culture;Writing;;22.01.1729, Kamenz, Oberlausitz;15.02.1781, Braunschweig;10178;Nikolaikirchplatz;7;Ãœber dem Eingang am Vorbau;Mitte;1913;Eisengusstafel
170;;"Max Liebermann; Maler und Graphiker";m;Culture;painting;;20.07.1847, Berlin;08.02.1935, Berlin;10117;Pariser Platz;7;Unter dem Fenster rechts vom Eingang;Mitte;2001;Acrylglastafel
171;;"Hans Litten; Rechtsanwalt, Strafverteidiger, NS-Verfolgter";m;History;Politics;NS persecuted;19.06.1903, Halle/Saale;05.02.1938, KZ Dachau;10179;Littenstraße;14 bis 15;Links neben dem Eingang;Mitte;1958;Steintafel
683;;"Friedrich Krause; Bauingenieur, Stadtbaurat für Tiefbau, Stadtältester";m;History;Administration;;01.03.1856, Uggehnen b. Königsberg;11.08.1925, Berlin;13353;Westhafenstraße;1;"BEHALA Verwaltungsgebäude 1. Absatz rechts; Hinter der Tafel befindet sich die Urne von Krause";Wedding;;Bronzetafel
172;;"Albert Lortzing; Tonkünstler, Komponist und Kapellmeister";m;Culture;Composing;;23.10.1803, Berlin;21.01.1851, Berlin;10117;Luisenstraße;53;Ãœber dem Eingang, ziemlich hoch;Mitte;1889;Bronzetafel
428;;"Walter Stoeckel; Gynäkologe und Geburtshelfer, Direktor der Universitätsfrauenklinik der Charité";m;Science and Research;Medicine;;14.03.1871, Insterburg, Ostpreußen;12.02.1961, Berlin;10117;Ziegelstraße;14 bis 16;Am Pfeiler des Treppenhauses;Mitte;;Bronzetafel
684;;"Fritz Schloss, Dr.; Bezirksbürgermeister Tiergarten";m;History;Politics;;23.05.1895, Berlin;19.12.1954, Berlin;10559;Fritz-Schloß-Park;;Anfang der Rodelbahn, kleine Anlage, Findling;Moabit;;Gedenkstein mit roter Inschrift
174;;"Walther Nernst und Max Bodenstein; Physiker und Chemiker, Nobelpreisträger";mm;Science and Research;Physics;;"25.06.1864, Briesen, Westpreußen; 15.07.1871, Magdeburg";"18.11.1941, Zibelle, Oberlausitz; 03.09.1942, Berlin";10117;Bunsenstraße;1;Rechts vom Eingang;Mitte;13.09.1983;Bronzetafel
430;;"Dietrich Bonhoeffer; evangelischer Theologe, NS-Widerstandskämpfer";m;Religion and Philosophy;Theologist;NS resistance;04.02.1906, Breslau;09.04.1945, Flossenbürg, Bayern;10119;Zionskirchplatz;;An der linken Seite der Kirche;Mitte;29.04.2000;Acrylglastafel
686;;"Gerhard Schlegel; Erster Präsident des Landessportbundes (LSB)";m;History;Civil Society Organisation;Sport;09.11.1903;24.04.1983;10557;Lehrter Straße;59;Poststadion, im Vorraum der Sporthalle über der Eingangstür;Moabit;09.11.2003;KPM - Berliner Gedenktafel
175;;"Christoph Friedrich Nicolai; Schriftsteller, Buchhändler";m;Culture;Writing;;18.03.1733, Berlin;08.01.1811, Berlin;10178;Brüderstraße;13;Eine Tafel rechts vom Eingang unter 1. Etage;Mitte;1928;Bronzetafel
177;;"Max Planck; Physiker, Begründer der Quantenphysik";m;Science and Research;Physics;;23.04.1858, Kiel;04.10.1947, Göttingen;10117;Unter den Linden;6;Humboldt Universität, Fassade linker Seitenflügel;Mitte;;Metalltafel
690;;"Hans (Johnny) Klein; Politiker (CSU), Bundesminister";m;History;Politics;;11.07.1931, Mährisch Schönberg;26.11.1996, Bonn;10559;Alt-Moabit;101;Eingangsbereich des ehemaligen Ministeriums;Moabit;;Messingtafel am Büstensockel
181;;"Johann Gottfried Schadow; Grafiker und Bildhauer";m;Culture;Sculpting;;20.05.1764, Berlin;27.01.1850, Berlin;10117;Schadowstraße;10 bis 11;Ãœber dem 3. Fenster rechts vom Eingang;Mitte;1895;Bronzetafel
182;;"Philipp Schaeffer; Orientalist, Sinologe und NS-Widerstandskämpfer";m;Science and Research;Sinology;NS resistance;16.11.1894, Königsberg;13.05.1943, Berlin-Plötzensee;10117;Dorotheenstraße;68;Zwischen dem 2. und 3. Fenster rechts vom Eingang;Mitte;50er;Eisengusstafel
694;;"Klara Franke; Kiezmutter der Lehrter Str";f;History;Civilian;;06.03.1911;26.08.1995;10557;Lehrter Straße;31 bis 34;Am Rand des Spielplatzes, rechts von der KUFA;Moabit;;Spiegelnde Metalltafel
186;;"Robert Schumann; französischer europäischer Politiker, (Jean-Baptiste Nicolas Robert Schuman)";m;History;Politics;French;29.06.1886, Clausen, Luxemburg;04.09.1963, Scy-Chazelles, Frankreich;13355;Graunstraße;31;Kloster der grauen Schwestern, links vom Eingang;Gesundbrunnen;29.06.1986;Bronzetafel
699;;"Lydia Rabinowitsch-Kempner; Mikrobiologin";f;Science and Research;Biology;;22.08.1871, Kowno;03.08.1935, Berlin;10551;Turmstraße;21;Krankenhaus Moabit, Institut für Mikrobiologie, Haus M, Eingang O Besuchereingang;Moabit;;Polierte Messingtafel
700;;"Mathilde Kirschner; Gründerin des katholischen Seniorenheims";f;Religion and Philosophy;community leader;catholic;10.05.1875, Berlin;29.04.1951, Berlin;10559;Alt-Moabit;38 bis 39;Rechts vom Eingang;Moabit;28.04.1952;Bronzetafel
705;;"Sabine Spielrein; Psychoanalytikerin, Pädagogin und Ärztin";f;Science and Research;Psychology and Analysis;NS victim;07.11.1885, Rostow am Don;14.08.1942, Rostow am Don;10557;Thomasiusstraße;2;Rechts vom Eingang, zwischen dem 1. und 2. Fenster;Moabit;03.03.2007;Acrylglastafel
198;;"Walther Arndt, Professor Dr. Med. Dr. Phil.; Zoologe und Arzt";m;Science and Research;Zoology;NS victim;08.01.1891, Landeshut, Schlesien;26.06.1944, Zuchthaus Brandenburg;10117;Unter den Linden;8;Innenhof der Humboldt Universitätsbibliothek;Mitte;1976;Bronzetafel
712;;"Wolfgang Scheunemann; Erstes Todesopfer der Sektorengrenze in Berlin";m;History;Civilian;GDR victim;04.04.1933, Berlin;09.09.1948, Berlin;10551;Bredowstraße;31 bis 32;An der Wand links des Wolfgang-Scheunemann-Hauses, direkt an der Straße;Moabit;11.11.1999;Eisengusstafel
202;;"Hans Litten; Rechtsanwalt, Strafverteidiger, NS-Verfolgter";m;History;Politics;NS persecuted;19.06.1903, Halle/Saale;05.02.1938, KZ Dachau;10179;Littenstraße;9;Hans-Litten-Haus, Rechts vom Eingang;Mitte;10.09.2009;Acrylglastafel
206;;"Otto Hahn und Lise Meitner; Kernphysiker";mf;Science and Research;Physics;;"06.03.1879, Frankfurt am Main; 07.11.1878, Wien";"28.07.1968, Göttingen; 27.10.1968, Cambridge";10115;Hessische Straße;1 bis 2;Links vom Eingang;Mitte;1978;Bronzetafel und 2 Portraitmedaillons
718;;"Carl Laux; Mitbegründer des Erbbauvereins Moabit e.V.";m;History;Civil Society Organisation;Housing;14.12.1869;18.03.1922;13353;Sprengelstraße;21;Rechts vom Eingang, zwischen dem 2. und 3. Fenster;Wedding;;Marmortafel mit vergoldeter Inschrift
207;;"Robert Havemann; Chemiker, Kommunist, NS-Widerstandskämpfer und DDR-Regimekritiker";m;History;Communism;NS resistance;11.03.1910, München;09.04.1982, Grünheide;10115;Hessische Straße;1 bis 2;Rechts vom Eingang;Mitte;11.03.2000;Bronzetafel
719;;"Carl Schlegel; Pastor, Vorsteher Paul-Gerhardt-Stift";m;Religion and Philosophy;Priest;elderly care;14.03.1853;22.08.1944, Hirschluch/Storkow;13349;Müllerstraße;56 bis 58;2. Hof Grünanlage links vor Haus C;Wedding;;Findling mit roter Inschrift
722;;"Eduard Solger; Armenarzt";m;History;Doktor;;28.05.1834;31.10.1920;13347;Reinickendorfer Straße;4;Rechte Wand in der Einfahrt;Gesundbrunnen;11.11.1988;KPM - Berliner Gedenktafel
724;;"Erika Hess; Bezirksbürgermeisterin Wedding";f;History;Politics;;16.05.1934, Hachen, Westfalen;30.05.1986, Berlin;13353;Müllerstraße;185;Eventuell an der Eishalle;Wedding;;Edelstahltafel
